MES;AÑO;INSTALACION;ENTIDAD;ACTIVIDAD;Deporte
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;ARGANDA FUTSAL;Fiestas Arganda;FUTBOL SALA
OCTUBRE;2022;PABELLON VIRGEN DEL CARMEN; CLUB BALONCESTO ARGANDA;Eventos Deportivos Especiales;FUTBOL SALA
OCTUBRE;2022;PISTA TENIS CD -  2;C.D.E. TENIS Y PADEL ARGANDA;Fiestas Arganda;TENIS
OCTUBRE;2022;PISTA TENIS CD -  2;C.D.E. TENIS Y PADEL ARGANDA;Fiestas Arganda;TENIS
OCTUBRE;2022;PABELLON ALBERTO HERREROS;C.D. MALVAR;Eventos Deportivos Especiales;FUTBOL SALA
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;Eventos Deportivos Especiales;GIMNASIA RITMICA
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;Eventos Deportivos Especiales;GIMNASIA RITMICA
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;Cursos;GIMNASIA RITMICA
OCTUBRE;2022;PISTA MULTIPLE CD - 1;SERAL BIKE;Eventos Deportivos Especiales;FUTBOL SALA
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;Eventos Deportivos Especiales;KARATE
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;Eventos Deportivos Especiales;KARATE
OCTUBRE;2022;PLAZA DE LA CONSTITUCIÓN;ASOCIACION ESPAÑOLA CONTRA EL CANCER;Eventos Deportivos Especiales;KARATE
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;CLUB KARATE IVAN LEAL;Eventos Deportivos Especiales;KARATE
OCTUBRE;2022;PABELLON C.D. PRINCIPE FELIPE;CLUB JUDO ARGANDA;Eventos Deportivos Especiales;JUDO
